X_Value,Strain1,Strain2,Strain3,Strain4,
0,0.001991,0.004792,0.000721,0.001686,
0.5,0.001991,0.00479,0.000719,0.001687,
1,0.001992,0.004792,0.000722,0.001684,
1.5,0.001993,0.004794,0.000717,0.001684,
2,0.001991,0.004788,0.000719,0.001684,
2.5,0.001991,0.004792,0.000723,0.001686,
3,0.00199,0.004792,0.000719,0.001684,
3.5,0.001993,0.004793,0.00072,0.001682,
4,0.001986,0.004793,0.000723,0.001685,
4.5,0.00199,0.00479,0.000719,0.001683,
5,0.001992,0.004793,0.00072,0.001682,
5.5,0.001993,0.004791,0.00072,0.001684,
6,0.001991,0.004793,0.00072,0.001684,
6.5,0.001989,0.004795,0.000724,0.001686,
7,0.001991,0.004794,0.000728,0.001686,
7.5,0.00199,0.004792,0.000721,0.001686,
8,0.001988,0.004792,0.00072,0.001685,
8.5,0.001991,0.004788,0.000719,0.001685,
9,0.001992,0.00479,0.000721,0.001683,
9.5,0.00199,0.004791,0.000721,0.001691,
10,0.001989,0.00479,0.000722,0.001687,
10.5,0.001989,0.004789,0.000722,0.001686,
11,0.001991,0.004793,0.000728,0.001686,
11.5,0.001987,0.00479,0.000713,0.001684,
12,0.00199,0.004788,0.000723,0.001687,
12.5,0.001988,0.00479,0.000722,0.001691,
13,0.001988,0.004791,0.000723,0.001682,
13.5,0.001989,0.004791,0.000723,0.001687,
14,0.001991,0.004795,0.000723,0.001686,
14.5,0.001987,0.004789,0.000723,0.001685,
15,0.001987,0.004787,0.000719,0.001688,
15.5,0.001993,0.004791,0.000721,0.001688,
16,0.001986,0.004796,0.00072,0.001685,
16.5,0.001986,0.00479,0.000718,0.001684,
17,0.001987,0.004794,0.000728,0.001685,
17.5,0.001989,0.00479,0.000723,0.001686,
18,0.001993,0.004793,0.000726,0.001684,
18.5,0.001986,0.00479,0.000721,0.001686,
19,0.001988,0.004791,0.000721,0.001685,
19.5,0.001988,0.004794,0.000723,0.001686,
20,0.001988,0.004792,0.000718,0.001684,
20.5,0.001992,0.004788,0.000718,0.001685,
21,0.001987,0.004792,0.000721,0.001688,
21.5,0.001986,0.00479,0.000721,0.001684,
22,0.001994,0.004794,0.000718,0.001678,
22.5,0.002055,0.004896,0.000663,0.001602,
23,0.002066,0.004955,0.000651,0.001547,
23.5,0.002068,0.004969,0.000646,0.001525,
24,0.002063,0.004967,0.000652,0.001522,
24.5,0.002062,0.004968,0.000653,0.001521,
25,0.002059,0.004968,0.000655,0.001517,
25.5,0.002056,0.004972,0.000655,0.001518,
26,0.002052,0.004963,0.000663,0.00152,
26.5,0.002058,0.004965,0.000662,0.001517,
27,0.002053,0.004965,0.000662,0.001516,
27.5,0.002055,0.004965,0.000667,0.001516,
28,0.002053,0.004964,0.000662,0.001517,
28.5,0.002053,0.004964,0.000665,0.001512,
29,0.002051,0.004966,0.000667,0.001516,
29.5,0.002049,0.004964,0.000666,0.001518,
30,0.002046,0.004964,0.000666,0.001518,
30.5,0.00205,0.004962,0.000668,0.001518,
31,0.002047,0.004967,0.000669,0.001515,
31.5,0.002046,0.004963,0.000669,0.001511,
32,0.002052,0.004962,0.000672,0.001514,
32.5,0.002049,0.004962,0.000667,0.001515,
33,0.002043,0.00496,0.000668,0.001515,
33.5,0.00201,0.004911,0.000699,0.001568,
34,0.001958,0.00479,0.00075,0.001689,
34.5,0.001965,0.004783,0.000739,0.001689,
35,0.00197,0.004779,0.000742,0.001689,
35.5,0.001981,0.004786,0.000738,0.001683,
36,0.001993,0.004779,0.00073,0.001686,
36.5,0.001988,0.004784,0.000731,0.001685,
37,0.001984,0.004783,0.000733,0.001686,
37.5,0.001984,0.004783,0.000733,0.001684,
38,0.001985,0.004784,0.00073,0.001686,
38.5,0.001983,0.004781,0.000733,0.001681,
39,0.001989,0.004783,0.000731,0.001684,
39.5,0.00199,0.004786,0.000723,0.00168,
40,0.001989,0.004787,0.00073,0.001683,
40.5,0.001989,0.004786,0.000728,0.001682,
41,0.001989,0.004785,0.000732,0.001683,
41.5,0.001987,0.004789,0.000728,0.001682,
42,0.00199,0.004784,0.000729,0.001683,
42.5,0.001993,0.004791,0.000727,0.001681,
43,0.001988,0.00479,0.000726,0.00168,
43.5,0.001994,0.004793,0.000726,0.001685,
44,0.001991,0.004791,0.000728,0.001684,
44.5,0.00199,0.004794,0.00073,0.001684,
45,0.001994,0.00479,0.000734,0.001683,
45.5,0.001989,0.004793,0.000731,0.001687,
46,0.001992,0.004788,0.00072,0.001681,
46.5,0.002009,0.004818,0.00071,0.001658,
47,0.002092,0.004979,0.000629,0.001516,
47.5,0.002101,0.00502,0.000628,0.001484,
48,0.002095,0.005029,0.000633,0.001469,
48.5,0.002091,0.005035,0.000637,0.001462,
49,0.002088,0.005036,0.000632,0.001456,
49.5,0.002085,0.005036,0.00064,0.001452,
50,0.002078,0.005032,0.000645,0.001453,
50.5,0.002081,0.005034,0.000645,0.001451,
51,0.002083,0.005037,0.000646,0.001452,
51.5,0.002078,0.005032,0.000646,0.001451,
52,0.002079,0.00503,0.000646,0.001446,
52.5,0.002078,0.005032,0.000651,0.001445,
53,0.002076,0.005036,0.000655,0.001448,
53.5,0.002074,0.005033,0.000661,0.001447,
54,0.002072,0.005035,0.000657,0.001444,
54.5,0.002074,0.005032,0.000652,0.001442,
55,0.002073,0.00503,0.00065,0.001446,
55.5,0.002072,0.005033,0.000652,0.001444,
56,0.00207,0.005032,0.000652,0.001447,
56.5,0.002069,0.005027,0.000655,0.001442,
57,0.00207,0.005032,0.000652,0.001447,
57.5,0.002068,0.00503,0.000655,0.001449,
58,0.002066,0.005029,0.000659,0.001446,
58.5,0.002067,0.00503,0.000651,0.001442,
59,0.002066,0.00503,0.000662,0.001442,
59.5,0.002021,0.004946,0.000704,0.001532,
60,0.001956,0.004791,0.000757,0.001695,
60.5,0.001963,0.004777,0.000756,0.001698,
61,0.001966,0.004779,0.000753,0.001699,
61.5,0.001966,0.004778,0.00075,0.001694,
62,0.00197,0.00478,0.000745,0.001692,
62.5,0.001974,0.004774,0.000741,0.00169,
63,0.001975,0.004778,0.00074,0.00169,
63.5,0.001976,0.004779,0.000737,0.001689,
64,0.001978,0.004775,0.000734,0.001686,
64.5,0.00198,0.004778,0.000737,0.001689,
65,0.001977,0.00478,0.000732,0.001689,
65.5,0.001976,0.004776,0.000733,0.001689,
66,0.001984,0.004777,0.000734,0.001685,
66.5,0.001981,0.004781,0.000733,0.001683,
67,0.001986,0.004777,0.000732,0.001686,
67.5,0.001983,0.004777,0.000731,0.00169,
68,0.001986,0.004781,0.000729,0.001686,
68.5,0.001984,0.004779,0.000732,0.001685,
69,0.001986,0.004783,0.000734,0.001686,
69.5,0.001984,0.004783,0.000734,0.001684,
70,0.001986,0.004781,0.000731,0.001684,
70.5,0.002004,0.004811,0.000712,0.001657,
71,0.002068,0.004928,0.000654,0.001557,
71.5,0.00211,0.005042,0.000614,0.001453,
72,0.002116,0.005076,0.000613,0.001409,
72.5,0.002124,0.005102,0.000611,0.001385,
73,0.002124,0.005119,0.000607,0.001368,
73.5,0.002118,0.005123,0.000612,0.001361,
74,0.002113,0.005124,0.000619,0.001363,
74.5,0.002114,0.005123,0.000619,0.001364,
75,0.002107,0.005118,0.000617,0.001356,
75.5,0.002109,0.005119,0.000624,0.001361,
76,0.002103,0.005118,0.00063,0.00136,
76.5,0.002106,0.005121,0.000623,0.001357,
77,0.002104,0.005117,0.000632,0.001362,
77.5,0.002101,0.005121,0.00063,0.001356,
78,0.002101,0.005121,0.00063,0.001355,
78.5,0.002099,0.005125,0.000638,0.001358,
79,0.002098,0.00512,0.000635,0.001355,
79.5,0.002098,0.005115,0.000636,0.001356,
80,0.002098,0.005114,0.000636,0.001356,
80.5,0.002097,0.005115,0.000635,0.001357,
81,0.002093,0.005115,0.00064,0.001355,
81.5,0.002092,0.005113,0.000639,0.001355,
82,0.002092,0.005111,0.000636,0.001357,
82.5,0.00209,0.005113,0.00064,0.001363,
83,0.002094,0.00512,0.000638,0.001354,
83.5,0.002058,0.005077,0.000664,0.0014,
84,0.001983,0.004909,0.000742,0.001571,
84.5,0.001951,0.0048,0.000763,0.00169,
85,0.001945,0.004765,0.000771,0.00171,
85.5,0.00195,0.004769,0.000759,0.001702,
86,0.001961,0.004768,0.000755,0.001697,
86.5,0.001964,0.004773,0.000755,0.001695,
87,0.001962,0.004771,0.000753,0.001693,
87.5,0.001966,0.004773,0.000748,0.001694,
88,0.001968,0.004775,0.000747,0.001697,
88.5,0.001968,0.004775,0.000743,0.001693,
89,0.001972,0.004771,0.000746,0.001693,
89.5,0.001971,0.004781,0.000745,0.001691,
90,0.001968,0.004771,0.000746,0.001691,
90.5,0.001975,0.004775,0.000743,0.001694,
91,0.001976,0.004778,0.00074,0.001695,
91.5,0.001977,0.004777,0.00074,0.001691,
92,0.001978,0.004776,0.000742,0.00169,
92.5,0.001982,0.004777,0.00074,0.001689,
93,0.001979,0.004773,0.000737,0.001688,
93.5,0.001978,0.004781,0.000739,0.001688,
94,0.001978,0.004777,0.000739,0.001686,
94.5,0.001981,0.00478,0.000739,0.001689,
95,0.001978,0.004781,0.000741,0.001686,
95.5,0.001982,0.004778,0.000736,0.001688,
96,0.00198,0.00478,0.000738,0.001688,
96.5,0.001981,0.004781,0.000733,0.00169,
97,0.00198,0.004782,0.000734,0.00169,
97.5,0.001981,0.004777,0.000733,0.001683,
98,0.001982,0.004783,0.000737,0.001685,
98.5,0.001982,0.004784,0.000738,0.001685,
99,0.001984,0.004785,0.000735,0.001682,
99.5,0.001985,0.004782,0.000733,0.001687,
100,0.001982,0.004782,0.000731,0.001683,
100.5,0.001982,0.004781,0.000738,0.001686,
101,0.001985,0.004777,0.000728,0.001685,
101.5,0.001984,0.004779,0.000731,0.001685,
102,0.001987,0.004781,0.000732,0.001685,
102.5,0.001985,0.004783,0.000735,0.001682,
